                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1799,                0.11843,                0.32592,                 5.2635,              0.0033288,              0.0033288,              0.0033288
                      2,                 4.2094,                0.25543,                0.54123,                 5.1601,              0.0065962,              0.0065962,              0.0065962
                      3,                 3.8857,                0.27698,                0.57525,                  5.133,              0.0097976,              0.0097976,              0.0097976
                      4,                 3.8458,                0.27443,                0.58695,                 5.1295,               0.009703,               0.009703,               0.009703
                      5,                 3.6862,                0.31142,                0.63471,                 5.1011,               0.009604,               0.009604,               0.009604
                      6,                 3.5412,                0.33178,                0.65821,                 5.0859,               0.009505,               0.009505,               0.009505
                      7,                 3.4099,                0.38251,                0.71208,                 5.0572,               0.009406,               0.009406,               0.009406
                      8,                 3.2813,                0.40635,                0.73397,                  5.037,               0.009307,               0.009307,               0.009307
                      9,                 3.1991,                0.43756,                0.76391,                 5.0075,               0.009208,               0.009208,               0.009208
                     10,                 3.1451,                0.44248,                0.76196,                  5.001,               0.009109,               0.009109,               0.009109
                     11,                 3.0561,                0.47005,                0.77545,                 4.9915,                0.00901,                0.00901,                0.00901
                     12,                 2.9804,                0.47557,                 0.7998,                  4.957,               0.008911,               0.008911,               0.008911
                     13,                 2.9267,                0.50263,                0.80811,                  4.947,               0.008812,               0.008812,               0.008812
                     14,                 2.8676,                0.52774,                0.83135,                 4.9388,               0.008713,               0.008713,               0.008713
                     15,                 2.8356,                0.54929,                 0.8395,                 4.9087,               0.008614,               0.008614,               0.008614
                     16,                 2.7617,                0.55327,                0.85188,                  4.909,               0.008515,               0.008515,               0.008515
                     17,                 2.7008,                0.57168,                0.86215,                  4.887,               0.008416,               0.008416,               0.008416
                     18,                 2.6843,                0.59832,                0.87631,                 4.8654,               0.008317,               0.008317,               0.008317
                     19,                 2.6341,                  0.604,                 0.8831,                 4.8586,               0.008218,               0.008218,               0.008218
                     20,                 2.5985,                0.62343,                0.89116,                 4.8347,               0.008119,               0.008119,               0.008119
                     21,                 2.5478,                0.64489,                0.90321,                 4.8148,                0.00802,                0.00802,                0.00802
                     22,                 2.5177,                 0.6555,                0.91262,                 4.7996,               0.007921,               0.007921,               0.007921
                     23,                 2.4728,                 0.6706,                0.91542,                 4.7951,               0.007822,               0.007822,               0.007822
                     24,                 2.4148,                0.67178,                0.91712,                 4.7824,               0.007723,               0.007723,               0.007723
                     25,                 2.3828,                0.69783,                0.92866,                 4.7679,               0.007624,               0.007624,               0.007624
                     26,                 2.3457,                0.70597,                0.93375,                 4.7569,               0.007525,               0.007525,               0.007525
                     27,                 2.3343,                0.71819,                0.93824,                 4.7394,               0.007426,               0.007426,               0.007426
                     28,                 2.3091,                0.73363,                0.94511,                 4.7294,               0.007327,               0.007327,               0.007327
                     29,                 2.2645,                 0.7528,                0.94868,                 4.7079,               0.007228,               0.007228,               0.007228
                     30,                 2.2161,                0.75976,                0.95266,                 4.6921,               0.007129,               0.007129,               0.007129
                     31,                 2.2016,                0.77155,                 0.9586,                 4.6853,                0.00703,                0.00703,                0.00703
                     32,                 2.1825,                0.77808,                0.96047,                 4.6774,               0.006931,               0.006931,               0.006931
                     33,                 2.1524,                0.79276,                0.96335,                 4.6619,               0.006832,               0.006832,               0.006832
                     34,                 2.1117,                0.80268,                0.96785,                 4.6491,               0.006733,               0.006733,               0.006733
                     35,                 2.0888,                0.81362,                0.97226,                  4.635,               0.006634,               0.006634,               0.006634
                     36,                 2.0364,                0.82847,                0.97362,                 4.6162,               0.006535,               0.006535,               0.006535
                     37,                 2.0301,                0.83161,                 0.9754,                 4.6155,               0.006436,               0.006436,               0.006436
                     38,                 1.9987,                0.83848,                0.97777,                 4.6029,               0.006337,               0.006337,               0.006337
                     39,                 1.9643,                0.85316,                0.98227,                 4.5841,               0.006238,               0.006238,               0.006238
                     40,                 1.9463,                0.86469,                0.98515,                 4.5735,               0.006139,               0.006139,               0.006139
                     41,                 1.8991,                0.86401,                0.98609,                  4.569,                0.00604,                0.00604,                0.00604
                     42,                 1.8841,                0.87479,                0.98592,                  4.559,               0.005941,               0.005941,               0.005941
                     43,                 1.8692,                0.88819,                0.98829,                 4.5449,               0.005842,               0.005842,               0.005842
